movie_title,year,view_count,like_count,dislike_count
Avatar,2009,21695693,22466,2737
Pirates of the Caribbean: At Worlds End,2007,737530,2368,45
Spectre,2015,26720049,62372,2226
The Dark Knight Rises,2012,75803892,216828,7298
Star Wars: Episode VII - The Force Awakens,2015,126753927,852253,24264
John Carter,2012,13892412,14274,1471
Spider-Man 3,2007,2341710,1188,120
Tangled,2010,9974666,13978,1544
Avengers: Age of Ultron,2015,28050374,97220,3230
Harry Potter and the Half-Blood Prince,2009,5879937,12485,437
Batman v Superman: Dawn of Justice,2016,53010711,242837,12245
Superman Returns,2006,1032171,2827,225
Quantum of Solace,2008,1579711,2311,130
Pirates of the Caribbean: Dead Mans Chest,2006,146612,161,10
The Lone Ranger,2013,9241160,19921,1016
Man of Steel,2013,18808932,57039,2428
The Chronicles of Narnia: Prince Caspian,2008,894661,1427,85
The Avengers,2012,58922110,181961,8368
Pirates of the Caribbean: On Stranger Tides,2011,13746713,34326,910
Men in Black 3,2012,8937049,19288,625
The Hobbit: The Battle of the Five Armies,2014,28986948,127587,3354
The Amazing Spider-Man,2012,36093354,43677,9935
Robin Hood,2010,824041,788,62
The Hobbit: The Desolation of Smaug,2013,15070331,67565,1724
The Golden Compass,2007,416732,765,55
